,TeamBatting,TeamBowling,Venue,Prediction,Actual,Error
353,Delhi Daredevils,Sunrisers Hyderabad,Rajiv Gandhi Interna,45.74004341691063,56,18.32135104123102
354,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,38.7370046228495,53,26.91131203235944
355,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,49.771453667073665,49,1.5743952389258469
356,Royal Challengers Bangalore,Rising Pune Supergiant,M Chinnaswamy Stadiu,44.15318188366728,55,19.721487484241308
357,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadiu,38.38343663175543,42,8.610865162487071
358,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,45.11552832446114,49,7.927493215385432
359,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,60.811315699113315,40,52.02828924778329
360,Gujarat Lions,Rising Pune Supergiant,Saurashtra Cricket A,39.894848040326245,64,37.66429993699024
361,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket A,45.88560153828829,61,24.777702396248703
362,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,50.35368843732641,57,11.660195723988751
363,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,46.725905402870815,76,38.5185455225384
364,Rising Pune Supergiant,Delhi Daredevils,Maharashtra Cricket ,43.341662477670575,62,30.09409277795069
365,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket ,45.25678430192648,50,9.48643139614704
366,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,41.50832361130628,59,29.646909133379186
367,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium,45.91279998485669,49,6.3004081941700205
368,Royal Challengers Bangalore,Delhi Daredevils,M.Chinnaswamy Stadiu,46.38654093584293,41,13.137904721568122
369,Delhi Daredevils,Royal Challengers Bangalore,M.Chinnaswamy Stadiu,48.37839866523157,43,12.507903872631562
370,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket A,45.08119878620423,52,13.305386949607245
371,Kolkata Knight Riders,Gujarat Lions,Saurashtra Cricket A,45.56930755496388,73,37.57629102059743
372,Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Interna,43.50281692263653,59,26.266411995531296
373,Royal Challengers Bangalore,Sunrisers Hyderabad,Rajiv Gandhi Interna,40.38924252504749,54,25.205106435097235
374,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,43.50033600155756,38,14.474568425151466
375,Sunrisers Hyderabad,Gujarat Lions,Feroz Shah Kotla,45.563152330032445,46,0.9496688477555552
376,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadiu,50.43027298610873,23,119.26205646134231
377,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadiu,42.948196738365894,31,38.54257012376095
378,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,48.345314170069436,48,0.7194045209779916
379,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,54.98966830488324,48,14.561808968506748
380,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara,43.68684243379197,52,15.986841473476973
381,Kings XI Punjab,Rising Pune Supergiants,Dr. Y.S. Rajasekhara,50.61065661990104,44,15.024219590684188
382,Gujarat Lions,Kolkata Knight Riders,Green Park,46.16649677383012,44,4.923856304159361
383,Kolkata Knight Riders,Gujarat Lions,Green Park,41.07385834011755,55,25.320257563422633
384,Rising Pune Supergiants,Delhi Daredevils,Dr. Y.S. Rajasekhara,43.165949214251775,28,54.164104336613484
385,Delhi Daredevils,Rising Pune Supergiants,Dr. Y.S. Rajasekhara,41.655137493763974,44,5.329232968718242
386,Kings XI Punjab,Sunrisers Hyderabad,Punjab Cricket Assoc,47.95893113725094,47,2.040279015427538
387,Sunrisers Hyderabad,Kings XI Punjab,Punjab Cricket Assoc,43.319160924006425,55,21.237889229079226
388,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadiu,40.70475050836548,42,3.083927361034575
389,Gujarat Lions,Royal Challengers Bangalore,M Chinnaswamy Stadiu,49.01620753211118,41,19.55172568807605
390,Mumbai Indians,Kings XI Punjab,Dr. Y.S. Rajasekhara,46.008653719642176,21,119.08882723639131
391,Kings XI Punjab,Mumbai Indians,Dr. Y.S. Rajasekhara,48.20104632133752,32,50.628269754179755
392,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadiu,45.76534692678674,25,83.06138770714696
393,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadiu,49.40591142344333,39,26.6818241626752
394,Kings XI Punjab,Royal Challengers Bangalore,Punjab Cricket Assoc,45.611660581768376,56,18.550606103985043
395,Royal Challengers Bangalore,Kings XI Punjab,Punjab Cricket Assoc,56.46072710180418,50,12.921454203608363
396,Mumbai Indians,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara,46.56361907225269,51,8.698786132837858
397,Sunrisers Hyderabad,Mumbai Indians,Dr. Y.S. Rajasekhara,46.38946810471587,32,44.96708782723709
398,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadiu,40.012890030645494,60,33.31184994892418
399,Rising Pune Supergiants,Royal Challengers Bangalore,M Chinnaswamy Stadiu,48.434117571446244,46,5.291559937926617
400,Delhi Daredevils,Rising Pune Supergiants,Feroz Shah Kotla,46.35954662683887,48,3.4176111940856866
401,Rising Pune Supergiants,Delhi Daredevils,Feroz Shah Kotla,44.57588744976842,50,10.848225100463154
402,Gujarat Lions,Delhi Daredevils,Saurashtra Cricket A,42.54524235781945,35,21.557835308055562
403,Delhi Daredevils,Gujarat Lions,Saurashtra Cricket A,45.53284697890563,61,25.355988559171095
404,Gujarat Lions,Kings XI Punjab,Saurashtra Cricket A,44.45260392999602,59,24.656603508481318
405,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket A,50.84123511990708,36,41.225653110853
406,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,50.75376720860555,37,37.17234380704203
407,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,44.09289375837048,43,2.5416133915592543
408,Rising Pune Supergiants,Gujarat Lions,Maharashtra Cricket ,48.55068948999289,48,1.1472697708185229
409,Gujarat Lions,Rising Pune Supergiants,Maharashtra Cricket ,48.812987569829524,72,32.20418393079233
410,Delhi Daredevils,Gujarat Lions,Feroz Shah Kotla,44.56124719259387,71,37.23768001043118
411,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,45.308318174832834,22,105.94690079469471
412,Kings XI Punjab,Mumbai Indians,Punjab Cricket Assoc,56.61695002261607,39,45.171666724656575
413,Mumbai Indians,Kings XI Punjab,Punjab Cricket Assoc,42.04328711531517,40,5.1082177882879165
414,Gujarat Lions,Royal Challengers Bangalore,Saurashtra Cricket A,39.21774945693992,50,21.56450108612016
415,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket A,44.29151984597516,72,38.484000213923395
416,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,48.58033838205476,41,18.488630200133567
417,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,43.12286931829725,52,17.07140515712068
418,Gujarat Lions,Sunrisers Hyderabad,Saurashtra Cricket A,57.451385274846494,50,14.90277054969299
419,Sunrisers Hyderabad,Gujarat Lions,Saurashtra Cricket A,50.61065661990104,63,19.665624412855486
420,Kings XI Punjab,Kolkata Knight Riders,Punjab Cricket Assoc,39.46702547102959,41,3.7389622657814967
421,Kolkata Knight Riders,Kings XI Punjab,Punjab Cricket Assoc,39.83731281199716,65,38.71182644308129
422,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadiu,45.08872577184881,63,28.430594012938403
